pid,label,monster_type,artist,location,language,_date,current_location,source,marginalia_description,order,layout,collection,thumbnail,full,manifest
obj28,"Hybrid from a Book of Hours (Bodleian Library MS. Douce 62, fol. 003r)",hybrid,"Attributed to the Master of the Brussels Initials, though there is an extra hand working in the borders","Italy, France","Latin, French",c. 1400,"Bodleian Libraries, University of Oxford",https://digital.bodleian.ox.ac.uk/objects/937bbece-fc36-44c8-b84e-3c2821c365e3/surfaces/886fc740-c354-4bab-8b5f-1ce4c5eef099/,A grotesque hybrid with the head of a man and the body of a beast sits at the right margin of the page.,27,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj28/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj28/full/1140,/0/default.jpg",/img/derivatives/iiif/obj28/manifest.json
obj29,"Hybrids from a Book of Hours (Bodleian Library MS. Douce 62, fol. 004v)",hybrid,"Attributed to the Master of the Brussels Initials, though there is an extra hand working in the borders","Italy, France","Latin, French",c. 1400,"Bodleian Libraries, University of Oxford",https://digital.bodleian.ox.ac.uk/objects/937bbece-fc36-44c8-b84e-3c2821c365e3/surfaces/debd86d7-1f39-420f-a28f-c72f5455e91b/,"Two grotesque hybrids, both with the head of a man and the body of a beast, sit in the left margin of the left page.",28,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj29/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj29/full/1140,/0/default.jpg",/img/derivatives/iiif/obj29/manifest.json
obj30,"Dragon from a Book of Hours (Bodleian Library MS. Douce 62, fol. 006v)",dragon,"Attributed to the Master of the Brussels Initials, though there is an extra hand working in the borders","Italy, France","Latin, French",c. 1400,"Bodleian Libraries, University of Oxford",https://digital.bodleian.ox.ac.uk/objects/937bbece-fc36-44c8-b84e-3c2821c365e3/surfaces/18f7b410-be3c-419f-9ec1-6b3d31b7c8fe/,A dragon sits at the top margin of the left page.,29,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj30/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj30/full/1140,/0/default.jpg",/img/derivatives/iiif/obj30/manifest.json
obj4,"Serra from a Bestiary (British Library Sloane 3544, fol. 43)",sea monster,Unknown,England,Latin,2nd or 3rd quarter of the 13th century,The British Library,https://www.bl.uk/catalogues/illuminatedmanuscripts/ILLUMIN.ASP?Size=mid&IllID=4480,"A detail of a serra swimming alongside a boat, while the two men in the boat raise their hands in prayer.",3,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj4/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj4/full/1140,/0/default.jpg",/img/derivatives/iiif/obj4/manifest.json
obj31,"Hybrids from a Book of Hours (Bodleian Library MS. Douce 62, fol. 006v)",hybrid,"Attributed to the Master of the Brussels Initials, though there is an extra hand working in the borders","Italy, France","Latin, French",c. 1400,"Bodleian Libraries, University of Oxford",https://digital.bodleian.ox.ac.uk/objects/937bbece-fc36-44c8-b84e-3c2821c365e3/surfaces/18f7b410-be3c-419f-9ec1-6b3d31b7c8fe/,"Two hybrids, both with the head of a man and the body of a beast, appear in the left margin of the left page. One appears to be eating a flower and the other is playing an instrument.",30,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj31/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj31/full/1140,/0/default.jpg",/img/derivatives/iiif/obj31/manifest.json
obj32,"Hybrid from a Book of Hours (Bodleian Library MS. Douce 62, fol. 009v)",hybrid,"Attributed to the Master of the Brussels Initials, though there is an extra hand working in the borders","Italy, France","Latin, French",c. 1400,"Bodleian Libraries, University of Oxford",https://digital.bodleian.ox.ac.uk/objects/937bbece-fc36-44c8-b84e-3c2821c365e3/surfaces/53c31000-2f0d-4606-bf61-f456ed966575/,A hybrid with the head of a man and the body of a beast sits in the left margin of the left page.,31,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj32/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj32/full/1140,/0/default.jpg",/img/derivatives/iiif/obj32/manifest.json
obj33,"Hybrid from a Book of Hours (Bodleian Library MS. Douce 62, fol. 010v)",hybrid,"Attributed to the Master of the Brussels Initials, though there is an extra hand working in the borders","Italy, France","Latin, French",c. 1400,"Bodleian Libraries, University of Oxford",https://digital.bodleian.ox.ac.uk/objects/937bbece-fc36-44c8-b84e-3c2821c365e3/surfaces/e97fad9c-510d-4f4d-ac53-d06504bdfc9f/,"A hybrid with the head of a man, the body of a beast, and the wings of a bird sits in the left margin of the left page.",32,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj33/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj33/full/1140,/0/default.jpg",/img/derivatives/iiif/obj33/manifest.json
obj34,"Hybrid from a Book of Hours (Bodleian Library MS. Douce 62, fol. 039v)",hybrid,"Attributed to the Master of the Brussels Initials, though there is an extra hand working in the borders","Italy, France","Latin, French",c. 1400,"Bodleian Libraries, University of Oxford",https://digital.bodleian.ox.ac.uk/objects/937bbece-fc36-44c8-b84e-3c2821c365e3/surfaces/a796714d-67b6-4b00-87aa-d6165cbbaf76/,A bottom-of-the-page detail of a hybrid with a man's head and torso and a beast's legs. He holds some sort of implement in his hands. ,33,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj34/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj34/full/1140,/0/default.jpg",/img/derivatives/iiif/obj34/manifest.json
obj35,"A Mermaid or Siren from a Book of Hours (Bodleian Library MS. Douce 62, fol. 051r)",sea monster,"Attributed to the Master of the Brussels Initials, though there is an extra hand working in the borders","Italy, France","Latin, French",c. 1400,"Bodleian Libraries, University of Oxford",https://digital.bodleian.ox.ac.uk/objects/937bbece-fc36-44c8-b84e-3c2821c365e3/surfaces/36c916d7-bbb8-4349-bc8e-81f8347ba7ea/,A close detail of either a mermaid or a siren holding a comb and mirror.,34,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj35/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj35/full/1140,/0/default.jpg",/img/derivatives/iiif/obj35/manifest.json
obj36,"A Hybrid from a Book of Hours (Bodleian Library MS. Douce 62, fol. 067v)",hybrid,"Attributed to the Master of the Brussels Initials, though there is an extra hand working in the borders","Italy, France","Latin, French",c. 1400,"Bodleian Libraries, University of Oxford",https://digital.bodleian.ox.ac.uk/objects/937bbece-fc36-44c8-b84e-3c2821c365e3/surfaces/7a22e8e9-d270-4a1d-81b6-1a81fb29ff3b/,A hybrid with the head of a man and the legs of a beast looks on as two men wrestle.,35,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj36/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj36/full/1140,/0/default.jpg",/img/derivatives/iiif/obj36/manifest.json
obj37,"A Hybrid from a Book of Hours (Bodleian Library MS. Douce 62, fol. 105v)",hybrid,"Attributed to the Master of the Brussels Initials, though there is an extra hand working in the borders","Italy, France","Latin, French",c. 1400,"Bodleian Libraries, University of Oxford",https://digital.bodleian.ox.ac.uk/objects/937bbece-fc36-44c8-b84e-3c2821c365e3/surfaces/e4c330fd-dceb-4b1a-aef4-8e2c8e2b781b/,A detail of hybrid with the upper half of a man and the lower half of a beast uses a lantern to read.,36,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj37/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj37/full/1140,/0/default.jpg",/img/derivatives/iiif/obj37/manifest.json
obj38,"A Hybrid from a Psalter (Bodleian Library MS. Douce 118, fol. 009r)",hybrid,Unknown,France,Latin,end of the 13th century,"Bodleian Libraries, University of Oxford",https://digital.bodleian.ox.ac.uk/objects/01979694-9663-472b-97d5-3ed575dd89b2/surfaces/9277fd84-ed81-4515-83c0-9f9d9562ac9f/,"A bottom-of-the-page detail of a female hybrid, possibly a mermaid or siren, combing her hair with a mirror.",37,mmcoll_item,mmcoll,"/img/derivatives/iiif/images/obj38/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj38/full/1140,/0/default.jpg",/img/derivatives/iiif/obj38/manifest.json
